名称,レア度,タイプ,主属性,副属性,攻撃,体力,回復,とっくん,出典,リダ攻倍率,倍率スキル,付与できる状態異常,スキル,リーダースキル,とくもり,きらめきオーラ
Dr.エッグマン,★6,たいりょく,紫,,1417,5108,246,なし,シート,1.0,,麻痺×3,敵全体に「こうげき」×5の属性攻撃をし、 70%の確率で3ターン「麻痺」状態にする,味方全体の体力が1.8倍になる,,
Dr.エッグマン,★7,たいりょく,紫,,3113,11484,812,込み,シート,2.5,,麻痺×3,相手全体にこのカードの「こうげき」×8の属性攻撃を与え、3ターンの間、「麻痺」状態にする,味方全体の攻撃力を2.5倍、体力を3.5倍にする,,
Dr.マシリト,★6,バランス,青,,2600,5600,1130,込み,シート,2.0,,,相手全体を2ターンの間、「封印」状態にする,青属性カードの攻撃力と体力を2倍にする,,
KAITO,★6,たいりょく,青,,2728,7182,679,込み,シート,2.0,,,フィールド内の好きな場所のぷよを 8個まであおぷよにぬりかえる,青属性カードの攻撃力と回復力を2倍にし 毎ターン、味方の青属性カードに 「かいふく」×1の回復,,
MEIKO,★6,こうげき,赤,,3181,5209,659,込み,シート,2.8,,,3ターンの間、ネクストぷよをすべて あかぷよに変える,味方全体の赤属性の体力が2倍、攻撃力が2.8倍になる,,
MEMちょ,★6,たいりょく,黄,,3000,5220,250,なし,シート,3.5,,,3ターンの間、味方ターン終了時に味方全体のスキル発動ぷよ数を3個減らす さらに3ターンの間、なぞり消し数を5個増やし、同時消し係数を5.5倍にする,味方全体の攻撃力を3.5倍、体力を3倍にする さらに味方全体の受けるダメージを20％軽減し、8個以上の同時消しでネクストぷよをランダムで1個チャンスぷよに変える,,
MEMちょ,★7,たいりょく,黄,,5750,12274,1017,込み,シート,4.5,,,3ターンの間、味方ターン終了時に味方全体のスキル発動ぷよ数を3個減らす さらに3ターンの間、なぞり消し数を7個増やし、同時消し係数を6.5倍にする,味方全体の攻撃力を4.5倍、体力を3.5倍にする さらに味方全体の受けるダメージを20％軽減し、8個以上の同時消しでネクストぷよをランダムで2個チャンスぷよに変える,,
Mr. ブラック＆ヒーイズトーマス,★7,こうげき,黄,紫,4842,8210,837,込み,シート,3.0,被ダメアップ×3.5,,2ターンの間、相手全体が受けるダメージを3.5倍にし、味方全体にダメージを80％軽減する「バリア」を付与する,味方全体の攻撃力と体力を3倍にし、クエスト開始時1回のみネクストぷよをすべてきいろぷよに変える,,
P3パプリス,★5,バランス,青,,58,74,30,込み,シート,1.0,,,,,,
P3主人公,★6,バランス,青,赤,3120,6100,1120,込み,シート,3.0,,,スタメンのカードが各カードの「こうげき」×スタメンの属性数×4.5の単体属性攻撃,味方全体の攻撃力を3倍、体力を2.5倍にし、さらに一度に消せるぷよ数を1個増やす,,
